Food Category,Meal Type,Protein,Carbs,Fat,Fiber,Sugar,Sodium,Water,Calories,Saturated Fat
Beverages,Dinner,11.4,74.6,30.2,3.9,48.0,39,309,305,5.41
Vegetables,Lunch,25.6,52.2,27.5,5.3,45.8,411,468,409,5.74
Dairy,Breakfast,32.8,43.4,11.8,3.2,49.9,480,878,510,2.63
Beverages,Lunch,34.6,98.2,11.4,5.2,17.4,246,764,470,2.41
Dairy,Breakfast,18.1,70.7,48.3,0.6,10.0,530,908,464,10.32
Beverages,Snack,27.0,18.9,13.1,6.8,35.2,599,816,351,3.26
Fruits,Snack,8.2,92.5,41.6,9.4,31.7,525,646,490,7.31
Fruits,Dinner,8.3,84.7,13.1,3.9,48.4,254,879,164,2.26
Meat,Snack,46.3,26.7,15.5,1.1,13.7,24,834,64,4.19
Beverages,Breakfast,18.9,82.1,40.5,0.6,45.9,994,958,74,7.6
Vegetables,Breakfast,15.3,10.9,28.0,9.0,12.9,995,425,335,7.34
Grains,Dinner,36.0,98.3,39.2,4.9,6.4,631,175,416,9.16
Dairy,Lunch,9.4,20.4,42.2,3.8,46.2,804,451,374,8.67
Dairy,Dinner,36.7,94.9,17.3,4.1,7.4,931,268,167,4.01
Dairy,Breakfast,22.4,17.0,43.6,1.5,49.9,166,342,180,10.56
Beverages,Dinner,43.0,72.5,21.8,9.2,24.3,242,991,354,4.85
Dairy,Dinner,23.5,69.2,9.7,2.6,39.2,196,153,507,1.93
Grains,Breakfast,39.4,92.0,27.0,8.3,0.2,96,957,418,7.85
Beverages,Lunch,21.6,12.3,32.4,2.9,45.3,115,573,311,8.19
Vegetables,Dinner,38.3,46.1,23.8,3.9,46.6,434,344,515,5.4
Vegetables,Lunch,43.4,99.3,18.3,7.1,14.7,491,610,344,4.04
Beverages,Snack,39.8,13.1,18.8,1.3,12.7,357,106,149,5.43
Fruits,Breakfast,36.0,65.9,8.7,4.0,35.5,449,809,395,1.87
Meat,Dinner,36.0,62.2,43.9,6.7,17.1,606,817,55,9.97
Snacks,Breakfast,17.7,43.3,49.0,7.9,38.5,697,396,402,10.01
Dairy,Dinner,11.2,89.2,36.1,3.6,29.6,538,983,496,6.53
Dairy,Lunch,28.5,88.5,21.5,0.0,14.6,243,150,290,4.55
Vegetables,Lunch,24.7,8.5,48.5,7.2,34.4,115,388,65,13.14
Beverages,Breakfast,11.5,90.0,13.5,2.0,31.8,512,293,590,2.44
Dairy,Dinner,21.3,23.1,29.5,9.5,49.2,683,748,311,6.77
Beverages,Dinner,5.6,65.9,9.4,3.0,41.6,522,223,141,1.62
Dairy,Breakfast,47.2,28.2,34.1,2.7,15.0,603,884,296,9.13
Snacks,Dinner,21.0,51.5,14.2,8.6,27.6,693,129,505,2.96
Vegetables,Dinner,18.5,82.0,21.7,9.9,39.0,371,267,145,4.09
Grains,Dinner,7.6,12.1,49.2,7.5,18.1,321,851,468,11.15
Grains,Dinner,3.9,77.0,27.3,9.8,33.1,192,728,586,4.65
Meat,Lunch,33.0,85.7,19.6,1.5,48.5,385,457,296,3.93
Fruits,Lunch,46.9,24.2,46.2,9.9,40.7,187,311,89,11.94
Meat,Dinner,46.6,74.5,27.9,0.5,5.4,271,153,192,7.12
Fruits,Breakfast,4.8,30.3,38.2,5.1,28.2,230,129,363,7.07
Snacks,Breakfast,37.1,59.3,6.7,0.5,1.9,121,992,354,1.87
Fruits,Dinner,20.0,36.1,23.9,4.7,36.9,654,749,566,5.13
Grains,Lunch,18.1,6.2,35.0,4.9,16.8,714,911,532,9.81
Dairy,Lunch,42.9,13.8,35.6,0.4,43.8,104,716,591,9.68
Dairy,Snack,45.2,75.9,19.9,2.1,17.1,306,149,89,4.54
Snacks,Snack,49.5,41.8,41.7,0.1,30.8,243,537,442,10.19
Dairy,Dinner,25.9,33.5,48.5,7.1,42.2,505,448,272,10.91
Meat,Dinner,36.9,12.0,18.5,4.8,6.8,847,750,570,5.61
Snacks,Breakfast,34.0,35.4,9.1,2.6,41.2,753,365,239,2.12
Beverages,Snack,34.6,63.5,36.3,9.2,21.2,628,315,446,8.04
Dairy,Breakfast,20.2,49.8,6.0,0.2,33.5,438,844,552,1.23
Vegetables,Dinner,15.9,6.6,12.5,6.0,49.9,999,139,329,3.26
Grains,Lunch,3.8,29.3,5.1,3.8,17.4,398,118,502,0.96
Dairy,Breakfast,48.2,16.6,6.9,7.9,32.2,80,309,382,1.89
Fruits,Dinner,20.6,70.3,19.7,7.0,34.2,691,591,130,3.87
Grains,Snack,32.0,66.1,3.2,5.0,20.3,89,628,373,0.7
Meat,Snack,32.6,99.1,36.5,9.6,39.0,246,367,404,7.23
Fruits,Dinner,30.2,26.7,11.4,1.9,36.0,466,488,557,2.74
Snacks,Breakfast,11.3,44.4,33.8,5.0,6.5,109,197,560,7.55
Fruits,Snack,27.7,27.9,16.1,9.4,2.8,928,772,243,4.63
Snacks,Snack,26.1,88.7,1.5,4.9,1.2,910,458,326,0.4
Snacks,Snack,6.9,37.3,21.8,6.3,22.2,136,146,389,4.17
Fruits,Snack,47.8,82.8,19.2,3.7,41.2,487,804,158,4.13
Meat,Snack,5.1,68.1,10.0,7.5,14.5,370,491,231,1.86
Fruits,Snack,4.0,86.5,10.1,2.8,37.4,63,799,523,1.7
Vegetables,Breakfast,49.2,21.2,24.1,7.1,9.7,253,656,148,6.93
Snacks,Snack,37.7,22.3,3.2,2.5,22.6,632,160,463,0.83
Vegetables,Dinner,26.4,67.6,31.1,6.8,39.9,896,324,175,6.31
Vegetables,Dinner,40.1,88.0,19.1,3.2,22.6,990,798,366,4.1
Vegetables,Lunch,10.8,12.4,2.1,4.7,10.9,767,663,147,0.52
Snacks,Lunch,14.3,79.1,18.8,2.6,36.8,348,123,504,3.47
Dairy,Snack,4.2,30.6,27.1,1.7,20.5,47,801,71,5.07
Meat,Breakfast,32.2,5.2,18.2,2.0,0.1,495,785,266,6.8
Beverages,Lunch,31.6,23.8,29.6,2.3,22.8,548,399,220,7.46
Meat,Breakfast,47.4,79.2,6.1,9.8,30.5,129,480,277,1.34
Snacks,Breakfast,10.5,18.5,12.5,9.6,40.1,692,736,96,2.67
Vegetables,Snack,23.0,9.1,49.5,3.2,41.3,782,692,388,13.12
Meat,Breakfast,45.3,13.0,38.1,6.7,32.3,995,247,477,10.59
Fruits,Dinner,49.8,38.7,17.6,5.6,15.5,147,360,453,4.54
Fruits,Breakfast,1.4,54.0,41.3,7.9,23.7,335,588,205,7.07
Meat,Snack,29.3,11.2,31.2,10.0,8.9,189,752,491,9.11
Grains,Lunch,47.9,89.8,48.3,0.4,33.7,546,447,61,10.37
Snacks,Lunch,24.0,42.5,42.8,2.3,23.2,305,597,543,9.46
Beverages,Lunch,24.2,62.4,30.6,0.7,47.1,656,748,434,6.15
Vegetables,Snack,20.9,78.7,38.4,4.3,44.4,411,413,145,7.35
Fruits,Dinner,41.2,37.6,45.0,3.3,15.2,492,387,550,11.35
Meat,Dinner,47.8,79.4,14.5,7.6,21.6,406,284,217,3.26
Dairy,Breakfast,24.6,19.5,28.8,2.3,0.8,635,675,173,9.16
Snacks,Lunch,9.0,43.6,22.7,0.1,12.3,976,667,337,4.63
Fruits,Breakfast,36.6,28.3,11.6,0.3,39.8,201,737,280,2.84
Fruits,Dinner,22.5,83.6,48.7,6.3,44.9,398,775,338,9.33
Vegetables,Snack,29.0,30.1,18.3,0.3,49.2,403,704,209,4.24
Grains,Breakfast,23.5,40.3,17.8,1.8,30.4,665,628,577,3.89
Vegetables,Dinner,42.9,20.8,39.0,3.4,32.5,677,875,440,10.25
Snacks,Lunch,3.0,14.2,40.6,9.4,31.5,694,753,254,7.65
Vegetables,Dinner,14.0,49.7,47.9,0.8,26.9,472,724,351,9.49
Beverages,Breakfast,4.0,28.6,47.8,5.4,29.3,527,184,424,8.72
Vegetables,Snack,13.1,29.6,47.7,8.4,31.7,743,654,508,9.95
Grains,Breakfast,26.4,42.8,27.2,2.9,41.8,650,902,331,5.9
Meat,Snack,38.6,21.3,5.0,1.1,37.3,164,230,590,1.28
Vegetables,Snack,46.6,89.5,34.4,6.1,8.6,528,122,563,8.18
Fruits,Dinner,19.7,74.0,14.2,9.9,5.3,943,414,177,3.26
Snacks,Lunch,40.4,40.4,1.4,9.6,45.2,836,566,332,0.33
Snacks,Snack,14.1,77.0,13.9,7.0,44.7,615,682,292,2.54
Vegetables,Lunch,42.9,43.4,8.6,9.1,32.7,593,144,420,2.04
Beverages,Breakfast,27.0,72.0,19.9,2.5,22.0,504,506,285,4.16
Grains,Lunch,37.4,88.4,13.4,0.8,20.3,400,756,538,2.87
Snacks,Lunch,25.6,85.3,3.9,6.2,25.5,721,672,517,0.78
Dairy,Breakfast,15.2,49.4,26.4,8.2,5.9,92,932,429,6.09
Vegetables,Snack,46.6,42.4,23.2,1.2,37.6,372,380,246,5.55
Beverages,Dinner,25.5,69.4,38.4,9.3,27.9,118,853,261,7.88
Snacks,Breakfast,14.1,50.8,12.9,9.9,31.9,702,402,83,2.52
Beverages,Dinner,40.2,89.2,30.2,5.6,27.2,688,118,84,6.4
Vegetables,Dinner,33.7,89.8,3.5,0.7,24.3,809,736,548,0.73
Grains,Breakfast,9.3,93.1,18.7,2.8,39.6,376,392,277,3.27
Vegetables,Snack,16.0,95.9,8.1,8.9,27.4,343,677,89,1.51
Grains,Breakfast,4.6,58.3,28.2,6.8,25.9,149,981,454,4.99
Vegetables,Breakfast,2.5,49.0,41.2,5.8,14.1,982,235,164,7.55
Meat,Breakfast,34.9,20.7,10.9,8.5,11.2,335,555,432,2.98
Fruits,Snack,41.3,19.6,42.7,9.8,15.5,942,757,455,11.72
Snacks,Dinner,42.4,46.9,5.1,4.8,45.7,581,377,58,1.17
Meat,Breakfast,20.9,12.5,15.7,2.9,6.3,738,111,399,4.48
Snacks,Snack,18.4,83.5,36.7,4.5,16.3,426,302,249,7.35
Grains,Lunch,21.0,31.2,43.4,8.5,39.0,677,404,110,9.57
Dairy,Lunch,11.6,77.4,27.6,5.2,36.7,922,614,289,5.0
Vegetables,Breakfast,10.1,30.2,44.6,6.9,42.5,432,390,234,8.8
Beverages,Dinner,49.5,68.1,33.3,3.7,20.3,699,610,95,7.74
Meat,Dinner,16.3,52.4,16.2,5.6,38.7,891,758,401,3.18
Fruits,Snack,27.4,78.0,3.6,1.2,49.2,612,663,192,0.71
Fruits,Snack,13.3,83.2,39.2,8.2,19.6,538,235,109,7.48
Meat,Breakfast,47.3,21.4,8.3,8.5,30.4,35,277,462,2.21
Vegetables,Lunch,17.2,49.4,34.2,6.4,21.3,637,367,235,7.09
Fruits,Breakfast,18.5,98.6,28.8,1.3,49.3,377,434,73,5.26
Fruits,Breakfast,20.4,30.7,21.9,1.8,40.9,52,138,495,4.81
Meat,Dinner,30.1,40.4,49.6,9.5,38.1,570,438,300,11.15
Dairy,Breakfast,49.0,14.6,26.3,4.4,22.1,22,256,113,7.42
Grains,Dinner,45.2,9.9,28.1,7.2,33.7,154,722,390,7.97
Dairy,Lunch,39.6,33.9,43.1,5.0,18.2,496,526,223,10.83
Beverages,Dinner,6.6,73.0,9.7,2.1,30.0,102,467,151,1.71
Fruits,Snack,26.3,81.9,46.7,7.3,20.2,573,328,308,9.62
Vegetables,Lunch,1.8,50.9,4.7,0.3,2.2,486,187,252,1.06
Dairy,Lunch,44.5,6.9,19.9,5.1,30.6,870,897,561,5.8
Beverages,Breakfast,40.4,61.9,4.8,8.2,45.4,195,768,219,1.05
Fruits,Dinner,23.0,77.0,46.7,0.6,37.5,271,491,287,9.15
Meat,Lunch,3.5,52.2,17.8,8.2,1.7,801,244,324,4.16
Beverages,Dinner,48.3,45.0,46.1,6.2,13.1,773,385,278,11.73
Snacks,Dinner,44.6,23.1,45.8,1.1,25.8,40,896,203,12.07
Dairy,Breakfast,5.9,8.8,20.6,5.0,15.9,992,530,204,4.74
Vegetables,Snack,2.5,15.9,41.6,8.0,31.9,291,251,251,7.61
Vegetables,Breakfast,49.9,86.5,29.3,2.6,34.5,754,676,195,6.36
Snacks,Lunch,2.2,73.7,37.2,0.7,9.0,27,387,411,7.07
Meat,Lunch,10.8,92.5,31.3,4.1,38.0,196,611,338,5.55
Vegetables,Breakfast,22.9,97.5,25.2,2.1,35.3,36,349,220,4.81
Beverages,Breakfast,19.7,27.8,3.5,2.5,43.9,863,997,310,0.77
Fruits,Breakfast,15.1,40.8,21.9,1.9,1.8,394,874,314,5.77
Grains,Dinner,20.8,29.8,7.8,4.7,49.2,703,130,586,1.71
Snacks,Snack,39.7,71.5,12.5,2.1,14.3,776,698,567,2.86
Snacks,Dinner,23.7,53.8,22.8,7.9,32.2,104,528,235,4.76
Meat,Breakfast,19.8,58.7,45.5,8.3,13.1,140,261,509,9.78
Meat,Snack,26.1,7.5,10.2,2.2,40.0,83,856,416,2.8
Vegetables,Snack,30.6,54.3,47.3,8.0,33.1,852,115,415,10.24
Vegetables,Lunch,12.4,78.0,39.7,3.6,20.0,884,405,131,7.56
Dairy,Dinner,30.2,28.0,19.7,7.1,0.2,415,767,583,6.36
Snacks,Breakfast,21.5,93.2,31.5,1.1,48.1,805,931,349,5.9
Beverages,Breakfast,17.6,23.9,45.3,6.6,34.3,336,958,156,10.19
Meat,Snack,36.9,23.2,26.4,5.4,16.5,989,721,127,6.97
Beverages,Lunch,13.0,88.6,16.4,7.0,9.3,95,420,54,3.35
Snacks,Snack,33.8,24.7,49.1,5.1,9.4,322,672,327,13.25
Fruits,Lunch,41.0,31.3,41.1,5.4,17.1,392,575,364,10.54
Fruits,Lunch,36.7,65.4,39.3,4.6,31.5,729,889,506,8.53
Meat,Breakfast,36.7,23.4,29.0,4.8,15.1,500,217,396,7.68
Vegetables,Breakfast,2.8,76.6,11.7,5.7,34.9,948,624,509,1.96
Dairy,Dinner,8.5,28.8,35.6,6.8,20.1,43,753,70,7.23
Meat,Lunch,12.4,15.3,12.9,9.9,8.7,588,172,203,3.24
Snacks,Lunch,39.7,47.8,6.4,3.6,15.1,797,903,389,1.55
Vegetables,Breakfast,41.3,62.4,49.4,7.7,20.2,866,543,51,11.31
Beverages,Dinner,21.1,64.3,48.7,0.9,18.2,310,458,524,10.14
Meat,Snack,33.9,25.9,1.9,5.2,33.7,737,359,271,0.47
Grains,Dinner,43.5,52.1,40.5,0.3,12.2,379,338,82,9.99
Vegetables,Breakfast,13.6,39.2,16.3,5.1,5.7,205,146,274,3.82
Grains,Lunch,37.0,6.4,34.9,0.6,25.7,888,645,403,10.17
Dairy,Lunch,31.1,84.3,36.0,0.4,9.3,467,126,286,8.1
Meat,Breakfast,4.9,47.8,12.1,8.0,21.1,455,411,337,2.21
Grains,Breakfast,38.1,74.7,28.3,1.1,19.8,596,300,387,6.24
Fruits,Dinner,36.3,21.0,30.5,3.4,27.7,609,499,408,7.89
Grains,Breakfast,10.1,35.1,12.2,5.7,33.9,640,799,155,2.39
Dairy,Dinner,44.3,16.1,18.1,9.3,30.6,704,926,545,4.93
Dairy,Lunch,24.9,90.9,34.3,4.1,49.4,231,406,411,6.56
Snacks,Dinner,38.9,77.4,7.0,4.3,37.1,642,901,107,1.48
Dairy,Snack,27.3,74.3,9.1,3.9,41.6,486,812,548,1.83
Grains,Lunch,47.8,56.6,18.3,2.3,4.2,429,555,594,4.98
Snacks,Snack,13.8,25.9,49.8,7.6,0.5,922,409,57,14.53
Vegetables,Dinner,1.1,9.5,47.7,1.6,24.1,667,577,230,8.65
Fruits,Breakfast,1.2,35.1,12.8,7.9,27.2,409,476,177,2.18
Meat,Snack,26.4,56.6,17.1,9.7,30.6,840,309,596,3.61
Meat,Lunch,19.9,39.2,14.6,9.4,40.8,687,870,210,3.07
Beverages,Snack,18.6,62.7,7.4,1.8,5.3,542,557,250,1.72
Beverages,Breakfast,48.8,97.5,43.6,2.9,11.8,316,422,565,10.0
Dairy,Breakfast,6.9,47.4,18.2,7.6,10.2,282,129,551,3.67
Beverages,Lunch,33.9,48.2,44.3,4.7,21.6,376,522,352,10.19
Grains,Dinner,16.0,88.6,10.6,9.3,7.6,185,448,574,2.25
Vegetables,Snack,46.8,34.0,14.6,1.4,19.1,586,816,380,3.75
Dairy,Snack,5.5,81.7,47.3,9.7,24.2,611,225,330,8.35
Meat,Snack,48.5,19.4,26.3,4.5,14.6,716,811,516,7.39
Snacks,Snack,14.4,91.2,3.9,8.4,9.9,858,775,202,0.79
Meat,Lunch,23.6,8.5,12.7,10.0,12.3,441,647,309,3.63
Fruits,Lunch,47.4,89.3,1.1,0.4,40.1,589,656,222,0.23
Vegetables,Lunch,2.2,53.2,22.4,2.1,0.6,198,228,134,5.49
Fruits,Breakfast,17.6,41.4,24.8,4.1,8.2,145,650,56,5.75
Snacks,Lunch,43.5,95.8,46.0,3.9,38.4,140,113,599,9.57
Meat,Snack,30.1,31.6,13.8,9.9,40.5,292,709,56,3.22
Vegetables,Breakfast,23.4,55.9,21.4,5.3,15.3,604,175,232,4.67
Snacks,Snack,45.2,59.7,37.7,5.8,2.6,576,488,307,10.55
Fruits,Snack,7.1,22.8,29.9,3.2,12.4,468,264,114,6.37
Beverages,Dinner,30.4,90.3,13.2,1.7,42.6,942,384,590,2.61
Vegetables,Breakfast,30.1,27.8,39.8,5.6,19.0,481,889,516,9.85
Fruits,Dinner,49.9,97.3,5.9,0.1,47.6,448,728,581,1.24
Meat,Dinner,7.8,72.2,31.0,2.0,28.7,958,563,169,5.56
Snacks,Lunch,6.7,99.2,1.5,3.3,37.5,345,817,144,0.26
Snacks,Breakfast,26.7,38.2,41.5,6.2,23.5,800,1000,148,9.48
Fruits,Dinner,29.6,9.9,46.0,0.2,28.5,379,873,175,12.63
Grains,Breakfast,25.4,25.7,43.9,5.3,21.7,401,676,416,10.62
Meat,Snack,6.0,86.0,40.0,4.0,39.4,890,318,393,6.84
Vegetables,Lunch,42.5,77.0,10.4,9.6,37.0,108,216,270,2.23
Dairy,Lunch,37.7,55.9,47.9,4.2,14.3,866,432,204,11.29
Dairy,Dinner,24.5,20.1,14.0,3.9,25.2,961,557,203,3.46
Dairy,Lunch,5.8,90.9,13.4,3.9,46.3,509,582,557,2.26
Fruits,Breakfast,33.8,21.6,34.7,3.7,22.9,980,453,486,8.95
Fruits,Dinner,39.5,35.8,13.3,8.9,46.7,790,879,385,3.16
Grains,Breakfast,47.4,65.6,31.9,3.5,32.8,94,183,491,7.2
Fruits,Lunch,34.4,5.6,12.0,3.9,43.3,923,381,141,3.43
Snacks,Snack,11.6,62.9,27.4,2.7,14.6,422,149,236,5.44
Vegetables,Breakfast,14.9,95.1,15.4,8.0,14.5,366,764,358,3.01
Fruits,Lunch,35.0,86.7,14.9,5.7,16.7,94,625,150,3.22
Fruits,Dinner,25.6,10.2,44.0,1.6,2.7,962,232,109,14.05
Dairy,Breakfast,10.8,37.6,6.8,1.8,32.9,74,525,530,1.33
Snacks,Dinner,26.8,29.3,15.4,9.0,25.2,1000,618,212,3.65
Dairy,Dinner,30.2,14.8,8.4,7.0,13.0,393,474,573,2.32
Grains,Dinner,12.4,36.2,8.9,2.9,2.1,723,768,466,2.3
Grains,Snack,27.9,92.3,19.8,8.5,22.4,351,808,301,4.02
Vegetables,Breakfast,48.5,46.8,25.1,6.4,7.5,632,741,526,6.67
Dairy,Breakfast,22.3,74.3,8.0,8.5,42.3,747,438,359,1.56
Vegetables,Dinner,47.6,80.1,34.3,3.1,36.8,383,226,61,7.46
Fruits,Lunch,5.3,9.3,49.6,8.9,21.7,85,465,497,10.9
Grains,Breakfast,29.8,34.7,13.8,3.6,32.7,957,280,462,3.19
Fruits,Lunch,48.2,85.4,42.1,8.9,28.9,163,350,560,9.2
Grains,Snack,29.1,14.8,3.7,6.1,44.6,158,829,187,0.95
Beverages,Breakfast,18.9,55.7,49.8,8.3,2.7,630,418,325,12.57
Beverages,Lunch,48.9,28.8,9.4,2.2,10.6,774,300,453,2.59
Fruits,Breakfast,39.6,86.5,42.0,1.7,37.3,949,386,63,8.76
Beverages,Dinner,41.6,51.5,33.0,1.8,5.6,768,443,599,8.69
Grains,Lunch,5.0,14.7,21.4,0.5,11.7,633,817,180,4.63
Grains,Breakfast,32.2,47.8,47.2,2.5,34.9,225,950,457,10.49
Meat,Dinner,21.5,61.3,3.6,2.6,33.1,310,281,423,0.73
Snacks,Dinner,36.9,56.1,41.6,0.2,7.9,514,984,559,10.3
Beverages,Snack,1.4,70.8,47.6,7.6,47.9,843,994,93,7.73
Dairy,Dinner,41.8,80.6,11.6,0.5,4.0,845,545,341,2.97
Beverages,Lunch,40.4,93.6,28.0,4.4,7.9,899,534,379,6.54
Beverages,Snack,21.9,93.7,31.7,9.4,27.0,349,245,205,6.14
Grains,Breakfast,30.9,67.6,21.3,3.2,37.2,170,592,243,4.44
Dairy,Lunch,24.0,34.5,34.4,4.8,44.4,203,594,237,7.59
Fruits,Lunch,25.2,33.0,5.7,1.8,13.5,288,252,213,1.37
Vegetables,Snack,31.9,86.6,41.3,5.0,20.6,618,169,118,8.66
Vegetables,Breakfast,39.7,81.8,15.6,8.7,24.7,910,918,585,3.36
Grains,Snack,3.6,46.9,22.7,4.8,5.0,885,734,221,4.78
Snacks,Snack,6.3,77.4,40.8,1.9,34.7,243,979,380,7.09
Fruits,Dinner,32.3,54.6,33.3,2.2,10.0,359,283,65,7.94
Grains,Dinner,7.2,7.2,34.1,4.6,30.2,36,311,480,7.99
Dairy,Snack,45.3,43.5,16.6,4.0,6.3,849,753,271,4.48
Meat,Breakfast,20.8,84.1,1.7,1.3,41.7,207,357,420,0.32
Grains,Lunch,16.5,34.3,47.4,2.9,9.5,460,801,95,11.01
Beverages,Dinner,9.9,42.0,21.3,3.9,33.1,187,199,144,4.07
Dairy,Breakfast,39.4,86.2,7.4,1.2,18.7,172,954,519,1.61
Vegetables,Lunch,35.0,12.1,18.9,0.1,1.7,417,859,60,6.31
Meat,Snack,28.2,60.6,39.6,7.3,42.1,404,896,102,8.23
Dairy,Dinner,22.8,33.2,17.7,1.2,21.8,438,445,419,4.05
Meat,Breakfast,8.0,56.0,27.2,9.4,8.9,888,163,239,5.56
Meat,Dinner,40.6,52.9,30.0,6.4,14.8,307,847,552,7.19
Beverages,Lunch,36.4,48.8,19.9,5.3,7.3,431,625,400,5.05
Dairy,Breakfast,6.4,62.0,46.9,7.5,44.8,722,488,375,8.15
Dairy,Lunch,21.0,15.1,1.4,4.3,19.2,138,148,394,0.36
Grains,Breakfast,39.6,25.2,47.7,6.9,28.7,320,195,102,12.17
Vegetables,Dinner,36.6,92.2,9.0,4.8,26.6,550,354,102,1.87
Grains,Breakfast,6.4,42.6,40.4,7.2,29.5,741,775,134,7.42
Snacks,Breakfast,25.5,87.5,47.4,2.1,48.0,962,373,324,9.15
Fruits,Snack,33.5,64.8,12.0,8.2,39.2,631,697,383,2.54
Snacks,Snack,31.6,10.8,24.0,8.6,4.3,141,728,540,7.51
Beverages,Dinner,8.0,95.0,15.5,2.4,24.7,847,426,553,2.76
Snacks,Breakfast,5.8,33.1,6.4,2.3,10.6,535,543,214,1.3
Dairy,Breakfast,33.8,64.8,18.2,2.0,8.8,82,319,108,4.32
Snacks,Lunch,25.2,29.4,13.3,3.1,35.4,867,456,232,3.06
Vegetables,Dinner,43.1,24.0,13.3,3.2,2.3,630,223,131,4.17
Snacks,Breakfast,31.7,17.8,8.8,6.4,12.9,377,675,527,2.39
Meat,Dinner,45.4,38.8,44.6,4.5,49.9,785,808,135,10.66
Vegetables,Lunch,9.6,66.5,8.2,0.3,21.7,746,841,486,1.54
Snacks,Breakfast,41.7,51.4,47.3,4.3,3.6,190,480,336,12.99
Beverages,Breakfast,36.8,81.5,2.3,6.3,45.8,644,355,364,0.47
Beverages,Breakfast,20.4,29.2,17.4,5.9,34.9,522,310,459,3.88
Dairy,Dinner,49.1,8.6,17.5,0.9,22.1,786,583,392,5.14
Beverages,Breakfast,31.8,6.7,18.3,6.6,11.1,30,676,303,5.52
Beverages,Lunch,15.0,90.3,30.1,6.9,14.4,70,500,109,5.93
Vegetables,Snack,45.6,84.5,42.6,1.3,1.2,851,591,77,12.05
Vegetables,Lunch,47.2,61.8,10.3,6.5,31.7,559,914,582,2.35
Beverages,Lunch,42.9,67.8,45.9,5.0,41.7,799,689,60,10.02
Meat,Breakfast,49.0,30.9,23.0,9.4,43.2,453,639,250,5.78
Fruits,Lunch,34.8,20.4,27.1,3.7,22.7,914,161,118,7.07
Beverages,Breakfast,19.6,82.4,29.9,3.9,2.9,540,322,201,7.23
Beverages,Lunch,41.4,31.3,28.0,2.7,21.7,343,885,520,7.08
Vegetables,Breakfast,18.5,10.8,5.2,1.8,26.4,272,555,529,1.34
Fruits,Dinner,10.8,27.2,48.3,8.9,38.2,671,905,566,9.81
Vegetables,Dinner,10.1,29.0,16.0,8.2,45.8,281,454,505,3.16
Meat,Breakfast,47.5,17.7,18.8,0.8,12.3,907,216,262,5.39
Beverages,Dinner,37.9,13.8,46.4,0.4,46.5,104,568,474,12.42
Fruits,Breakfast,16.5,18.5,10.9,0.7,26.5,342,735,186,2.56
Dairy,Dinner,36.9,23.0,43.9,4.4,11.2,78,576,127,11.93
Dairy,Breakfast,31.0,79.6,39.4,0.2,46.8,918,451,511,7.93
Vegetables,Dinner,2.2,63.0,22.5,6.3,17.4,409,159,373,3.99
Beverages,Breakfast,25.5,95.0,49.0,0.3,6.3,909,128,413,11.06
Grains,Lunch,4.1,36.0,1.2,8.4,21.6,47,290,514,0.22
Snacks,Snack,31.5,49.5,30.7,7.5,49.7,931,576,480,6.65
Beverages,Lunch,25.2,48.5,13.6,4.2,46.1,787,153,532,2.86
Beverages,Snack,44.1,21.1,36.3,1.4,42.9,754,122,551,9.45
Grains,Breakfast,40.5,22.4,41.8,1.4,33.4,446,741,109,10.79
Fruits,Dinner,18.6,72.1,30.2,7.3,25.3,907,768,385,5.95
Dairy,Lunch,14.8,90.5,19.3,3.1,8.9,735,380,453,3.99
Meat,Snack,1.9,83.9,34.2,6.3,3.7,438,690,348,7.21
Fruits,Lunch,46.7,42.6,22.7,5.3,33.8,97,735,367,5.46
Beverages,Snack,37.9,7.5,39.4,9.7,8.5,128,286,311,12.2
Dairy,Lunch,19.8,37.7,6.2,2.3,28.2,628,557,410,1.34
Vegetables,Snack,19.0,9.4,3.1,2.5,31.6,560,428,255,0.81
Meat,Lunch,48.5,14.3,18.6,1.0,34.2,246,480,410,5.15
Grains,Lunch,45.8,43.8,49.1,7.9,27.6,534,343,205,11.84
Fruits,Lunch,35.8,69.6,8.1,4.2,19.3,305,668,78,1.79
Fruits,Dinner,11.9,28.0,32.9,4.8,22.2,813,303,208,6.98
Fruits,Breakfast,10.6,86.1,14.4,4.8,16.3,929,575,199,2.73
Dairy,Lunch,2.7,13.5,30.1,9.7,17.5,856,260,258,5.89
Beverages,Dinner,11.4,57.3,41.7,8.5,40.0,351,240,520,7.74
Snacks,Lunch,4.3,6.1,3.3,2.5,43.9,992,708,408,0.72
Meat,Breakfast,46.4,46.9,8.1,9.4,26.4,661,788,336,1.94
Beverages,Dinner,31.9,26.2,27.5,7.0,41.2,95,732,550,6.65
Fruits,Dinner,5.5,40.3,29.4,1.0,31.4,971,243,155,5.33
Dairy,Snack,49.2,90.9,48.2,1.2,8.2,180,259,96,11.58
Beverages,Snack,21.1,45.3,20.1,0.7,7.1,317,159,329,4.79
Beverages,Lunch,49.0,13.1,25.5,2.5,33.8,633,999,258,7.12
Grains,Dinner,4.3,34.7,46.6,7.4,33.9,479,193,447,8.34
Fruits,Breakfast,44.9,68.2,28.7,3.2,0.7,948,467,61,8.52
Fruits,Snack,32.6,77.9,31.3,8.5,34.1,178,326,60,6.47
Vegetables,Breakfast,23.4,13.7,25.0,2.2,27.0,462,208,422,6.44
